code_pays,pays,annee,age_valeur,genre,sector,sector_group,population,tranche_age
CIV,Côte d'Ivoire,2026,27,female,"Electricity; gas, steam and air conditioning supply",Industry,130,25-35
CIV,Côte d'Ivoire,2026,27,female,Education,Services,3489,25-35
CIV,Côte d'Ivoire,2026,27,female,Construction,Industry,513,25-35
CIV,Côte d'Ivoire,2026,27,female,"Arts, entertainment and recreation",Services,306,25-35
CIV,Côte d'Ivoire,2026,27,female,Agriculture; forestry and fishing,Agriculture,68509,25-35
CIV,Côte d'Ivoire,2026,27,female,Administrative and support service activities,Services,356,25-35
CIV,Côte d'Ivoire,2026,27,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6241,25-35
CIV,Côte d'Ivoire,2026,27,female,Activities of extraterritorial organizations and bodies,Services,339,25-35
CIV,Côte d'Ivoire,2026,27,female,Accommodation and food service activities,Services,11706,25-35
CIV,Côte d'Ivoire,2026,28,female,Agriculture; forestry and fishing,Agriculture,66084,25-35
CIV,Côte d'Ivoire,2026,28,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,46569,25-35
CIV,Côte d'Ivoire,2026,28,female,"Water supply; sewerage, waste management and remediation activities",Industry,84,25-35
CIV,Côte d'Ivoire,2026,28,female,Transportation and storage,Services,454,25-35
CIV,Côte d'Ivoire,2026,28,female,Real estate activities,Services,628,25-35
CIV,Côte d'Ivoire,2026,28,female,Public administration and defence; compulsory social security,Services,2774,25-35
CIV,Côte d'Ivoire,2026,28,female,"Professional, scientific and technical activities",Services,420,25-35
CIV,Côte d'Ivoire,2026,28,female,Other service activities,Services,10596,25-35
CIV,Côte d'Ivoire,2026,28,female,Mining and quarrying,Industry,377,25-35
CIV,Côte d'Ivoire,2026,28,female,Manufacturing,Industry,21055,25-35
CIV,Côte d'Ivoire,2026,28,female,Information and communication,Services,502,25-35
CIV,Côte d'Ivoire,2026,28,female,Human health and social work activities,Services,5083,25-35
CIV,Côte d'Ivoire,2026,28,female,Financial and insurance activities,Services,1310,25-35
CIV,Côte d'Ivoire,2026,28,female,"Electricity; gas, steam and air conditioning supply",Industry,126,25-35
CIV,Côte d'Ivoire,2026,28,female,Education,Services,3366,25-35
CIV,Côte d'Ivoire,2026,28,female,Administrative and support service activities,Services,344,25-35
CIV,Côte d'Ivoire,2026,28,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6022,25-35
CIV,Côte d'Ivoire,2026,28,female,Activities of extraterritorial organizations and bodies,Services,326,25-35
CIV,Côte d'Ivoire,2026,28,female,Accommodation and food service activities,Services,11291,25-35
CIV,Côte d'Ivoire,2026,28,female,Construction,Industry,496,25-35
CIV,Côte d'Ivoire,2026,28,female,"Arts, entertainment and recreation",Services,296,25-35
CIV,Côte d'Ivoire,2026,29,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,44907,25-35
CIV,Côte d'Ivoire,2026,29,female,"Water supply; sewerage, waste management and remediation activities",Industry,81,25-35
CIV,Côte d'Ivoire,2026,29,female,Transportation and storage,Services,437,25-35
CIV,Côte d'Ivoire,2026,29,female,Real estate activities,Services,605,25-35
CIV,Côte d'Ivoire,2026,29,female,Public administration and defence; compulsory social security,Services,2673,25-35
CIV,Côte d'Ivoire,2026,29,female,"Professional, scientific and technical activities",Services,405,25-35
CIV,Côte d'Ivoire,2026,29,female,Other service activities,Services,10218,25-35
CIV,Côte d'Ivoire,2026,29,female,Mining and quarrying,Industry,365,25-35
CIV,Côte d'Ivoire,2026,29,female,Manufacturing,Industry,20302,25-35
CIV,Côte d'Ivoire,2026,29,female,Information and communication,Services,484,25-35
CIV,Côte d'Ivoire,2026,29,female,Human health and social work activities,Services,4902,25-35
CIV,Côte d'Ivoire,2026,29,female,Financial and insurance activities,Services,1263,25-35
CIV,Côte d'Ivoire,2026,29,female,"Electricity; gas, steam and air conditioning supply",Industry,122,25-35
CIV,Côte d'Ivoire,2026,29,female,Education,Services,3247,25-35
CIV,Côte d'Ivoire,2026,29,female,Construction,Industry,478,25-35
CIV,Côte d'Ivoire,2026,29,female,"Arts, entertainment and recreation",Services,284,25-35
CIV,Côte d'Ivoire,2026,29,female,Agriculture; forestry and fishing,Agriculture,63726,25-35
CIV,Côte d'Ivoire,2026,29,female,Administrative and support service activities,Services,331,25-35
